stage,epoch,train_loss,train_acc,val_loss,val_acc
1,1,1.0686,0.367,1.4613,0.2696
1,2,0.9604,0.455,1.7782,0.287
1,3,0.9229,0.4826,1.3125,0.3739
1,4,0.8828,0.5101,1.1541,0.3652
1,5,0.838,0.5339,1.141,0.3913
1,6,0.807,0.5376,1.137,0.4087
1,7,0.809,0.5615,1.1859,0.3913
1,8,0.7635,0.5505,0.9251,0.5739
1,9,0.7671,0.5945,1.0601,0.4522
1,10,0.7252,0.622,1.1541,0.4348
1,11,0.748,0.6073,1.0166,0.4696
1,12,0.7542,0.5817,1.1111,0.4174
1,13,0.7147,0.6257,1.0369,0.4435
1,14,0.7395,0.6183,0.9251,0.5826
1,15,0.6577,0.6477,0.9712,0.4783
2,1,0.5473,0.7064,0.9169,0.6696
2,2,0.3271,0.8,0.7572,0.7043
2,3,0.2729,0.8385,0.6598,0.7217
2,4,0.2361,0.8771,0.5731,0.7652
2,5,0.1393,0.9248,0.8899,0.713
2,6,0.1169,0.9321,0.6089,0.7652
2,7,0.0887,0.9541,0.4786,0.8261
2,8,0.0942,0.9541,0.5555,0.8
2,9,0.0893,0.9505,0.6769,0.7739
2,10,0.0848,0.9578,0.6719,0.8261
2,11,0.0614,0.967,0.6649,0.7826
2,12,0.0597,0.9688,0.7807,0.7826
2,13,0.0639,0.967,0.5413,0.8522
2,14,0.0458,0.9835,0.5261,0.8174
